lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1987-09-01,0.013944022,0.07223575,0.1581109,0.088854566,29.88842,295.515,269.60294,236.46751,0.013582547,0.010521142,0.00167261,8.869805e-05,215.8316
29.0,79.375,1987-10-01,0.012485931,0.044503815,0.106510125,0.061957795,25.717550000000017,292.46292,264.357,230.81792,0.0071993615,0.00533002,0.0006832828,7.900386e-05,215.8316
29.0,79.375,1987-11-01,0.012204289,0.018997176,0.027969642,0.016979283,20.630700000000047,289.13455,264.0349,228.95673,0.0025215487,0.0018095798,0.00027359818,6.165435e-05,215.8316
29.0,79.375,1987-12-01,0.012104226,0.019975768,0.020055665,0.012739302,17.02520000000004,286.21725,262.44098,227.10939,0.0023068741,0.0019707084,0.0005570546,7.9739526e-05,215.8316
29.0,79.375,1988-01-01,0.01169235,0.03547421,0.03100406,0.019208277,16.257960000000026,284.43686,258.042,226.05109,0.003752143,0.0029936864,0.0005843215,5.800392e-05,215.8316
29.0,79.375,1988-02-01,0.010750846,0.035587884,0.061077856,0.036809385,19.055540000000008,286.87537,258.79575,223.94896,0.004128597,0.0028960523,0.0006335816,5.8740166e-05,215.8316
29.0,79.375,1988-03-01,0.009318915,0.03495941,0.15088564,0.08742153,22.60647,289.5939,259.51633,228.27553,0.005136005,0.0037440432,0.0006267834,5.2131043e-05,215.8316
29.0,79.375,1988-04-01,0.010839077,0.03481359,0.1798664,0.10432042,31.279100000000028,296.97723,262.66107,226.92722,0.004203391,0.0036416077,0.0008914104,8.012986e-05,215.8316
29.0,79.375,1988-05-01,0.010169259,0.031402014,0.20334983,0.11441342,35.446860000000015,301.1972,265.17422,234.00693,0.004682606,0.0040685735,0.00066395005,3.864802e-05,215.8316
29.0,79.375,1988-06-01,0.012517515,0.07243196,0.28541425,0.15648864,35.344780000000014,299.45755,268.5189,237.92116,0.011239622,0.00943794,0.0017912871,0.00012644775,215.8316
29.0,79.375,1988-07-01,0.012214908,0.100924075,0.099630095,0.054810535,29.341330000000028,294.60196,272.7771,240.348,0.020090764,0.016157065,0.0059706373,0.0005573716,215.8316
29.0,79.375,1988-08-01,0.0118564665,0.07155143,0.08288166,0.04565493,27.28082000000001,294.20828,272.13446,239.62971,0.020349812,0.015116458,0.005073583,0.0005307945,215.8316
